cytoband	11q25	17q21.31	8p22	19p13.3	6q27	11p15.5	6q15	9p23	2q37.3	3p14.2	17p12	13q14.2	12q24.21	1p36.31	14q24.3	15q13.1	19q13.32	9p21.3	10q26.3	9q21.12	1p13.3	16q24.2	18q23	5q12.3	18p11.31	17p11.2	4p16.3	3p12.2	4q35.2	8p11.21	8q24.3	1p36.32	7q36.1	13q11	21q21.3	1p36.23	7p22.3	2p24.1	22q13.32	21q11.2	
	VPS26B		BMP1	CSNK1G2	MAP3K4	ASCL2	ME1		CHRND	CACNA1D			BCL7A	GPR153	DIO2	CHRNA7	ATP1A3		BNIP3	S1PR3	AMPD2	APRT	TSHZ1	BTF3	LRRC30		CRMP1	CACNA1D	TRIML1		GPR20	CAPZB	AZGP1	LINC00417	GABPA	BMP8B	GPER1	CAD	MPPED1	GABPA	
	GLB1L3		POLR3D	CFD	AFDN	CARS	NT5E		CHRNG	SLC25A20			SCARB1	RNF207	DLST	CKMT1B	AXL		CASP7	FXN	AMY1A	ZFHX3	TXNL4A	CAMK4	LINC00668		CTBP1	SLC25A20	LINC01060		GPT	CASP9	OPN1SW	LOC101928697	NCAM2	C1QA	ICA1	CALM2	CHKB	NCAM2	
	SPATA19		BNIP3L	ARID3A	PARK2	CCKBR	MAP3K7		COL4A3	CAMP			CMKLR1	HES3	EIF2S1	EPB42	BAX		CHUK	GAS1	AMY1B	BBS2	ADNP2	CAMLG	AKAIN1		DGKQ	CAMP	FRG2		GRINA	RUNX3	BPGM		TMPRSS15	C1QB	IL6	CENPA	CPT1B	TMPRSS15	
	MIR4697HG		CHRNA2	EFNA2	PDCD2	CD81	RNGTT		COL4A4	CCK			COX6A1	MIR4689	ERH	GABRA5	BCAT2		ABCC2	GCNT1	AMY1C	GAS8-AS1	KCNG2	CAST	MIR3976HG		DHX15	CCK	DUX4		HSF1	TNFRSF8	BRAF		PWP2	C1QC	ITGB8	CYP1B1	CSF2RB	PWP2	
	LOC283177		CLU	ELANE	PLG	CD151	TBX18		COL6A3	ENTPD3			CRY1	MIR4417	ESR2	GABRB3	BCKDHA		COL17A1	GNAQ	AMY2A	CA5A	SALL3	CCNB1	TMEM200C		DRD5	ENTPD3	DBET		LY6E	CDA	CALD1		HSPA13	C8A	LFNG	DDX1	CSNK1E	HSPA13	
	LOC646522		CTSB	GAMT	PSMB1	CDKN1C	FHL5		DTYMK	CDC25A			DAO	LOC102724450	ESRRB	GABRG3	BCL3		COX15	HNRNPK	AMY2B	CA7	TIMM21	CCNH	LINC01387		EVC	CDC25A	LOC100506272		LY6H	CDK11B	CALU		TPTE	C8B	MEOX2	DNMT3A	CYP2D7	TPTE	
	LOC100128239		DEFA1	MKNK2	RPS6KA2	TPP1	SNAP91		GBX2	CISH			DTX1		FNTB	GANC	CEACAM1		CPN1	NTRK2	RHOC	CALB2	ZNF407	CDK7	MIR4317		FGFR3	CISH	LINC01262		TONSL	CDC42	CAPZA2		U2AF1	CA6	NUDT1	DTNB	CYP2D6	U2AF1	
	LOC100507548		DEFA3	GPX4	SLC22A1	CNGA4	CASP8AP2		GPC1	CCR1			EIF2B1		FOS	GATM	BLVRB		CTBP2	PCSK5	ATP1A1	CBFA2T3	CNDP2	CDO1	MIR3976		GAK	CCR1	LINC01596		PLEC	CD52	CASP2		NRIP1	CAPZB	NDUFA4	E2F6	CYB5R3	NRIP1	
	MIR4697		DEFA4	GZMM	SLC22A3	CTSD	SYNCRIP		GPR35	CCR3			ELK3		FUT8	GCHFR	C5AR1		CYP2E1	PGM5	ATP5F1	CBFB	RBFA	CETN3	L3MBTL4-AS1		GRK4	CCR3			PTK2	RCC1	CAV1		C21orf33	CASP9	NPY	EPAS1	TYMP	C21orf33	
			DEFA5	PALM	SLC22A2	DRD4	SLC35A1		HDLBP	CCR5			STX2		GALC	PDIA3	CA11		CYP17A1	PRKACG	BCL9	CBLN1	PQLC1	CHD1	LOC101927168		HTT	CCR5			RPL8	CLCN6	CAV2		ADAMTS1	RUNX3	PDGFA	FKBP1B	EP300	ADAMTS1	
			DEFA6	POLR2E	SOD2	DUSP8	FUT9		AGFG1	CCR8			GOLGA3		GPX2	IPW	CALM3		DMBT1	RORB	BRDT	CDH1	NETO1	CKMT2	LOC101927188		HGFAC	CCR8			TSTA3	CLCNKA	CDK5		RWDD2B	TNFRSF8	PMS2	FOSL2	FBLN1	RWDD2B	
			DEFB1	POLRMT	T	EIF4G2	PNRC1		HTR2B	ACKR2			GTF2H3		GSTZ1	ITPKA	CD37		DOCK1	TLE1	CAPZA1	CDH3	PARD6G	ERCC8			HMX1	ACKR2			ZNF7	CLCNKB	CFTR		USP16	CDA	PRKAR1B	FTH1P3	XRCC6	USP16	
			DEFB4A	PRTN3	TBP	HBB	CEP162		SP110	COL7A1			HAL		GTF2A1	IVD	CD79A		DUSP5	TLE4	CASQ2	CDH5	CNDP1	AP3S1			IDUA	COL7A1			ZNF16	CNR2	CHRM2		CCT8	CDK11B	RAC1	GCKR	MCHR1	CCT8	
			DPYSL2	PTBP1	TCP1	HBBP1	ANKRD6		INPP5D	CTNNB1			HPD		HIF1A	LTK	CEACAM5		ECHS1	ZFAND5	CD2	CDH8	FAM69C	COX7C			RBPJ	CTNNB1			PSCA	CORT	AP1S1		BTG3	CDC20	RPA3	GTF3C2	H1F0	BTG3	
			EGR3	RPS15	TCP10	HBD	ZNF292		IRS1	CX3CR1			IGF1		HSPA2	MAP1A	CGB3		EMX2	PIP5K1B	CD53	CDH11	CBLN2	CRHBP			LETM1	CX3CR1			LY6D	DDOST	CLCN1		ADAMTS5	CDC42	FSCN1	HADHA	HMOX1	ADAMTS5	
			DMTN	STK11	TCTE3	HBE1	MDN1		KCNJ13	CYP8B1			LTA4H		LTBP2	MEIS2	CEACAM3		FGF8	FAM189A2	CD58	CDH13	FBXO15	HAPLN1			LRPAP1	CYP8B1			JRK	DFFA	CPA1		ICOSLG	CDKN2C	SP4	HADHB	IL2RB	ICOSLG	
			EPHX2	TCF3	DYNLT1	HBG1	UFL1		NCL	DAG1			MMP17		MAX	MFAP1	CEACAM7		FGFR2	TJP2	CHI3L2	CDH15	LOC284241	CSF2			MSX1	DAG1			DGAT1	DFFB	CPA2		LTN1	CD52	TWIST1	HPCAL1	KCNJ4	LTN1	
			CLN8	MADCAM1	THBS2	HBG2	ORC3		NDUFA10	DNASE1L3			MSI1		MAP3K9	TRPM1	CEACAM8		GFRA1	GDA	CLCA1	CDH16	ZADH2	CSNK1G3			MYL5	DNASE1L3			GPAA1	DVL1	CUX1		N6AMT1	RCC1	ZNF12	ID2	LGALS1	N6AMT1	
			PTK2B	PLPP2	EZR	HPX	SNORD50A		SEPT2	DOCK3			MVK		ALDH6A1	NDN	CEACAM4		GOT1	GNA14	CNN3	CES1	SMIM21	VCAN			PCDH7	DOCK3			FOXH1	E2F2	CYP3A7		USP25	CLCN6	AIMP2	KCNF1	LGALS2	USP25	
			FDFT1	MED16	RNASET2	HRAS	NDUFAF4		NEU2	DUSP7			MYBPC1		MNAT1	OCA2	CKM		PRLHR	SPIN1	COL11A1	CETP	LINC00908	DMXL1			PDE6B	DUSP7			RECQL4	ECE1	CYP3A4		RBM11	CLCNKA	MAFK	KCNK3	MB	RBM11	
			FGL1	FSTL3	SYNJ2	IGF2	CYB5R4		NPPC	CELSR3			MYL2		MTHFD1	PLCB2	AP2S1		GPR26	SMC5	CRYZ	CNGB1	LOC339298	DHFR			PPP2R2C	CELSR3			LRRC14	MEGF6	CYP3A5		CYP4F29P	CLCNKB	MAD1L1	KCNS3	MCM5	CYP4F29P	
			GATA4	APC2	QKI	ILK	UBE2J1		PDCD1	FHIT			NFYB		SIX6	RAD51	CLPTM1		GRK5	VPS13A	CSF1	COX4I1	ATP9B	EFNA5			QDPR	EPHA3			ZNF623	EPHA2	DLD		SMIM11A	PLK3	EIF3B	KHK	MFNG	SMIM11A	
			GFRA2	ABCA7	WTAP	INS	AKIRIN2		PDE6D	FLNB			NOS1		PGF	RYR3	CRX		HABP2	AGTPBP1	CTBS	CSNK2A2	LOC400655	F2R			RGS12	FHIT			KHDRBS3	ENO1	DLX5		LINC00158	CNR2	DNAH11	KIF3C	MGAT3	LINC00158	
			GNRH1	UQCR11	PDE10A	IRF7	RARS2		SERPINE2	GNAI2			OAS1		PIGH	SCG5	CYP2A6		HMX2	CDK20	CTH	CTRB1	LINC00909	F2RL1			RNF4	FLNB			PTP4A3	EPB41	DLX6		CHODL-AS1	COL8A2	CYTH3	LTBP1	MPST	CHODL-AS1	
			LOXL2	SBNO2	FGFR1OP	KCNQ1	SMIM8		PPP1R7	GNAT1			OAS2		PPM1A	SNRPN	CYP2A7		TLX1	TMEM2	DBT	CTRL	C18orf65	F2RL2			S100P	GBE1			PUF60	EPHA8	DPP6		LINC00113	COL9A2	NFE2L3	EPCAM	MYH9	LINC00113	
			LPL	ARHGAP45	LINC01558	LMO1	LYRM2		PSMD1	XCR1			OAS3		PPP2R5E	SORD	CYP2A13		HPS1	ZNF658	GADD45A	CYBA	LINC00683	FBN2			SH3BP2	GNAI2			DENND3	EPHB2	SLC26A3		LINC00308	COL16A1	PHF14	MATN3	NAGA	LINC00308	
			MSR1	SHC2	DLL1	LSP1	SNX14		PTMA	GPR27			P2RX4		PRKCH	SPINT1	CYP2B6		INPP5A	SPATA31A7	DLSTP1	CYLD	LOC400661	FER			SOD3	GNAT1			ZC3H3	EXTL1	EN2		MRPL39	CORT	HDAC9	MPV17	NCF4	MRPL39	
			MSRA	DAZAP1	MRPL18	MUC2	RRAGD		SNORD20	GPX1			P2RX7		PSEN1	SRP14	CYP2B7P		ABLIM1	OSTF1	DPYD	DHODH	HSBP1L1	FGF10			WFS1	XCR1			ARC	EYA3	EPHA1		C21orf91	CPT2	RAPGEF5	MSH2	NDUFA6	C21orf91	
			NEFM	RNU6-1	SNX9	MUC5AC	BACH2		SAG	GRM2			PEBP1		PSMC1	THBS1	CYP2F1		MGMT	PSAT1	DR1	NQO1	C18orf63	FOXD1			WHSC1	GPR27			BOP1	FABP3	EPHB4		MAP3K7CL	CSF3R	AP5Z1	MYCN	SNU13	MAP3K7CL	
			NEFL	FGF22	MPC1	MUC6	LINC01590		CCL20	HYAL1			PAH		ABCD4	TJP1	DBP		MKI67	UBQLN1	DRD5P2	DYNC1LI2	PARD6G-AS1	GDF9			NELFA	GPX1			SCRIB	FGR	EPHB6		JAM2	CTPS1	ARL4A	ODC1	PDGFB	JAM2	
			NKX3-1	THEG	UNC93A	NAP1L4	MANEA		SP100	IMPDH2			CDK17		RAD51B	TP53BP1	DMPK		MXI1	PCA3	S1PR1	DPEP1	LOC100131655	GLRX			ZNF141	GRM2			FBXL6	MTOR	EPO		SAMSN1	CYP2J2	GPNMB	VIT	PMM1	SAMSN1	
			PCM1	MBD3	PHF10	NUP98	GPR63		SPP2	ITIH1			SLC25A3		SEL1L	TYRO3	DMWD		NDUFB8	ABHD17B	CELSR2	E2F4	LINC01541	GTF2H2			SLBP	HTR1F			OPLAH	FUCA1	EZH2		BAGE4	CYP4A11	AGR2	PIGF	POLR2F	BAGE4	
			PDGFRL	MIER2	ERMARD	SLC22A18	SPACA1		CUL3	ITIH3			PLA2G1B		SRSF5	UBE3A	MEGF8		NFKB2	GOLM1	EXTL2	FANCA	LOC100505797	GZMA			ACOX3	HYAL1			AGO2	IFI6	FLNC		BAGE3	CYP4B1	IGF2BP3	POMC	PPARA	BAGE3	
			PPP2R2A	PCSK4	AGPAT4	SLC22A18AS	GJA10		DGKD	ITIH4			PMCH		SIX1	MKRN3	EMP3		NRAP	NMRK1	F3	FOXF1	LOC100505817	GZMK			CPZ	IMPDH2			COMMD5	GABRD	GBX1		BAGE2	DAB1	KDELR2	PPM1B	MAPK11	BAGE2	
			PPP3CC	C19orf24	TULP4	POLR2L	MRAP2		PER2	LAMB2			POLE		SLC8A3	SLC30A4	ERCC1		OAT	C9orf40	FCGR1A	FOXL1	LOC100505853	HEXB			NOP14	ITIH1			CPSF1	GALE	GNB2		LINC00313	GADD45A	ADAP1	PPM1G	PVALB	LINC00313	
			SFTPC	BTBD2	ARID1B	PSMD13	KLHL32		LRRFIP1	RPSA			PPP1CC		SLC10A1	PWAR5	ERCC2		PAX2	RFK	FCGR1B	FOXC2	RBFADN	HINT1			FAM193A	ITIH3			CYHR1	GNB1	GPR22		MIR155HG	DDOST	NUPL2	PPP1CB	RAC2	MIR155HG	
			SLC7A2	RNF126	TMEM181	RNH1	RIPPLY2		GPR55	LTF			PRKAB1		SNAPC1	EIF3J	ERF		PGAM1	KIF27	FMO5	GALNS	MIR548AV	HMGCR			PROM1	ITIH4			FAM135B	SFN	GPR37		CYYR1	DFFA	SNX13	PRKCE	RANGAP1	CYYR1	
			SLC18A1	WDR18	SMOC2	MRPL23	PM20D2		TRIP12	MAP4			PSMD9		SPTB	JMJD7-PLA2G4B	FCGRT		PITX3	NAA35	GBP1	GAS8	LOC101927606	HMGCS1			LDB2	LAMB2			VPS28	GPR3	GRM8		LINC00161	DFFB	IQCE	EIF2AK2	RPL3	LINC00161	
			STC1	REXO1	ZDHHC14	RPL27A	SRSF12		ECEL1	MITF			PTPN11		TGFB3	SNAP23	FLT3LG		PNLIP	SLC28A3	GBP2	GCSH	LOC101927651	HSD17B4			SLIT2	RPSA			HGH1	ZBTB48	MNX1		CHODL	DHCR24	SUN1	RPS7	MAPK12	CHODL	
			TUSC3	PLPPR3	FRMD1	RPLP2	CFAP206		EIF4E2	MOBP			PXMP2		TSHR	HERC2	FOSB		PNLIPRP1	ZCCHC6	GBP3	GLG1	LINC01029	HSPA4			RAB28	LTF			KCNK9	HMGN2	AGFG2		ANKRD30BP2	DIO1	SOSTDC1	RRM2	SBF1	ANKRD30BP2	
			TNKS	OR4F17	AGPAT4-IT1	RRM1	PRSS35		HDAC4	MST1			PXN		ZBTB25	SNURF	FTL		PNLIPRP2	CNTNAP3	GFI1	GNAO1	LOC101927989	HTR1A			KIAA0232	MAP4			THEM6	HMGCL	HTR5A		LIPI	DPH2	OSBPL3	SDC1	SLC5A1	LIPI	
			ADAM7	ABHD17A	LINC00574	SCT	C6orf163		FARP2	MST1R			RAN		DPF3	SLC28A2	FUT1		HTRA1	RMI1	GJA5	GOT2	LOC102724913	IL3			WDR1	MITF			CHRAC1	HSPG2	IFRD1		ABCC13	DVL1	WIPI2	SRSF7	SLC5A4	ABCC13	
			TNFRSF10D	KLF16	LPAL2	SMPD1	MMS22L		ARL4C	MYL3			RFC5		GPR68	TGM5	FUT2		PSD	TRPM3	GJA8	HAS3		IL4			HS3ST1	MOBP			EXOSC4	HTR1D	IMPDH1		SIK1	E2F2	INTS1	SIX3	SOX10	SIK1	
			TNFRSF10C	KISS1R	RSPH3	TRIM21	GJB7		RAMP1	NKTR			RFX4		GPR65	PPIP5K1	GIPR		PTPRE	GKAP1	GCLM	HP		IL5			FGFBP1	MST1			LY6K	HTR6	INSIG1		LINC00189	ECE1	TSPAN13	SLC3A1	SREBF2	LINC00189	
			TNFRSF10B	MUM1	TTLL2	ST5	SNHG5		NMUR1	CNTN3			RPL6		NUMB	AQR	GPR4		RGS10	ISCA1	GNAI3	HPR		IL6ST			LINC01587	MST1R			SLC39A4	ID3	IRF5		C21orf91-OT1	EDN2	EIF2AK1	SLC8A1	SSTR3	C21orf91-OT1	
			TNFRSF10A	MIDN	FAM120B	STIM1	TSG1		STK25	PDHB			RPLP0		ADAM21	ARHGAP11A	GPR32		RPL21	CEP78	GNAT2	HSBP1		IL9			MFSD10	MYL3			SLURP1	TNFRSF9	KCND2		LINC00314	PHC2	BZW2	SOS1	ST13	LINC00314	
			FGF17	R3HDM4	FNDC1	TAF10	SNORD50B		COPS8	PFKFB4			CLIP1		ADAM20	LCMT2	GRIK5		SCD	ANKRD20A1	GNG5	HSD11B2		IL13			MAEA	NKTR			SLC45A4	STMN1	KCNH2		D21S2088E	MEGF6	SNX8	SOX11	TCF20	D21S2088E	
			DOK2	TMEM259	SERAC1	TALDO1	MIR2113		CAPN10	PLXNB1			ATXN2		DCAF5	SLC12A6	GRIN2D		SFRP5	C9orf64	GSTM1	HSD17B2		IRF1			PCGF3	CNTN3			ZNF250	MATN1	KEL		LINC00515	EPHA2	TRA2A	SPAST	TEF	LINC00515	
			MTMR7	TPGS1	LINC00473	TEAD1	MIR4464		SP140	PRKAR2A			SELPLG		ALKBH1	RASGRP1	ARHGAP35		FBXW4	FAM122A	GSTM2	HSF4		ISL1			SPON2	PDHB			PYCRL	MFAP2	LAMB1		LOC284825	ELAVL4	MRM2	SRD5A2	TIMP3	LOC284825	
			MYOM2	REEP6	SYTL3	TH	MIR4643		PASK	PRKCD			SFSWAP		EIF2B2	SERF2	GSK3A		SLC18A2	TMC1	GSTM3	IRF8		ITGA1			TACC3	PFKFB4			C8orf33	MTHFR	LEP		LINC00319	ENO1	NXPH1	STRN	TST	LINC00319	
			DLGAP2	SCAMP4	SFT2D1	TSPAN4	MANEA-AS1		ATG4B	PTH1R			SNRPF		PNMA1	GPR176	GYS1		SLIT1	CARNMT1	GSTM4	KARS		ITGA2			SLC34A2	PLXNB1			LYNX1	NBL1	LRCH4		POTED	EPB41	GET4	ADAM17	UPK3A	POTED	
			MFHAS1	ADAT3	TAGAP	TNNI2	LOC101927314		SH3BP4	PTPRG			TBX5		RPS6KA5	CHP1	FOXA3		TAF5	C9orf57	GSTM5	KIFC3		KCNN2			MXD4	POU1F1			RHPN1-AS1	NPPA	MCM7		LOC339622	EPHA8	CCZ1	TPO	WNT7B	LOC339622	
			ENTPD4	GRIN3B	PACRG	TNNT3	LOC101928820		NGEF	QARS			TBX3		NRXN3	OIP5	HRC		TCF7L2	C9orf85	GTF2B	LCAT		KIF2A			CPLX1	PRKAR2A			SLC52A2	NPPB	DNAJB9		LINC00317	EPHB2	MPP6	TSSC1	YWHAH	LINC00317	
			ARHGEF10	MISP	PNLDC1	TRPC2	LOC101928911		SNORD82	SNORA62			HNF1A		AKAP5	BAHD1	PRMT1		TECTB	C9orf135	HMGCS2	MAF		TNPO1			SLC26A1	PRKCD			GSDMD	OPRD1	MEST		LINC00320	EPS15	CYCS	UCN	SYN3	LINC00320	
			PHYHIP	PLK5	LOC154449	PHLDA2	LOC101928936		SNED1	ROBO1			TDG		SPTLC2	FAN1	IRF3		TIAL1	TRPM6	HSD3B1	MC1R		LECT2			PPARGC1A	PROS1			ZNF696	PAFAH2	MET		LOC388813	EXTL1	MIOS	VSNL1	PLA2G6	LOC388813	
			KBTBD11	C2CD4C	DACT2	TUB	LOC101929057		GIGYF2	ROBO2			TMPO		RGS6	MAPKBP1	KCNA7		UROS	NXNL2	HSD3B2	CHST6		LMNB1			SEL1L3	PTH1R			ARHGAP39	PAX7	MKLN1		MIR99AHG	EYA3	RNF216	XDH	GALR3	MIR99AHG	
			SORBS3	CIRBP-AS1	C6orf118	WEE1	CASC6		TRAF3IP1	RPL29			NR2C1		SUSD6	GOLGA8A	KCNC3		WNT8B	RASEF	IGSF3	MMP2		LNPEP			MAN2B2	PTPRG			ZNF34	PEX10	MUC3A		ANKRD20A11P	FAAH	TOMM7	SLC30A3	APOL1	ANKRD20A11P	
			NPM2	C19orf25	OSTCP1	ZNF143	TBX18-AS1		ANO7	ATXN7			HSP90B1		AREL1	RTF1	KCNJ14		XPNPEP1	FAM201A	CYR61	MMP15		LOX			FBXL5	QARS			SHARPIN	PEX14	NDUFA5		MIRLET7C	FABP3	TMEM106B	PXDN	EIF3D	MIRLET7C	
			DLC1	ATP8B3	WDR27	ZNF195	LOC105377879		PRLH	SEMA3F			TXNRD1		MED6	CYFIP1	KCNN4		SHOC2	PRUNE2	IL12RB2	MT1A		CD180			NSG1	SNORA62			EPPK1	PGD	NDUFB2		MIR125B2	FGR	ZNF853	KLF11	CACNA1I	MIR125B2	
			SPAG11B	CBARP	PACRG-AS1	ZNF214	LINC01611		THAP4	SMARCC1			UBC		GPHN	MGA	LHB		ADAM12	TMEM252	JAK1	MT1B		SMAD5			FAM184B	ROBO1			SCRT1	PIK3CD	NOS3		MIR155	FHL3	CYP2W1	MAP4K3	SYNGR1	MIR155	
			PNMA2	CSNK1G2-AS1	PRR18	ZNF215			ANKMY1	NEK4			UBE2N		VTI1B	VPS39	LIG1		UTF1	CBWD5	KCNA2	MT1E		MAN2A1			GPR78	ROBO2			TRAPPC9	PLA2G2A	CNOT4		MIR99A	FOXE3	DNAAF5	NCOA1	LARGE1	MIR99A	
			ADAM28	ODF3L2	LOC285804	RASSF7			SCLY	TCTA			UNG		BATF	FAM189A1	LIPE		EIF3A	MAMDC2	KCNA3	MT1F		MAP1B			ZCCHC4	RPL29			MAF1	PLA2G5	NPTX2		MGC39584	FOXD2	ZDHHC4	ASAP2	GRAP2	MGC39584	
			LZTS1	ADAMTSL5	C6orf120	PPFIBP2			ASB1	TDGF1			ZNF10		NPC2	CCNDBP1	BCAM		GBF1	FRMD3	KCNA10	MT1G		MCC			ANAPC4	ATXN7			PARP10	PLOD1	NRCAM		MIR663A	MTOR	CHST12	SLC5A6	PICK1	MIR663A	
			XPO7	NDUFS7	DKFZp451B082	IFITM1			CAB39	TGM4			ZNF26		AHSA1	NPAP1	MYBPC2		LDB1	C9orf47	KCNC4	MT1H		MEF2C			LAP3	SEMA3F			TIGD5	EXOSC10	NRF1		RNA5-8S5	FUCA1	CDCA7L	EIF2B4	GTPBP1	RNA5-8S5	
			TRIM35	WASH5P	TCP10L2	OR6A2			UGT1A10	TKT			ZNF84		ACOT2	HYPK	CEACAM6		BTRC	SPATA31E1	KCND3	MT1JP		MAP3K1			SEPSECS	SMARCC1			PPP1R16A	PPP1R8	OCM2		RNA18S5	IFI6	RADIL	TAF1B	APOBEC3B	RNA18S5	
			RHOBTB2	ONECUT3	LOC401286	DCHS1			UGT1A8	TMF1			ZNF140		TMED10	TMEM87A	NOVA2		PKD2L1	LOC286238	LEPR	MT1M		MOCS2			STX18	NEK4			ZNF251	PRKCZ	ORC5		RNA28S5	GABRD	KLHL7	COX7A2L	CELSR1	RNA28S5	
			PSD3	MEX3D	LINC00242	EIF3F			UGT1A7	CLEC3B			CDK2AP1		PTPN21	RPAP1	NPAS1		INA	LOC286297	MOV10	MT1L		MSH3			FGFRL1	TCTA			KIFC2	PTAFR	SERPINE1		TEKT4P2	GALE	STK31	ITGB1BP1	DEPDC5	TEKT4P2	
