cytoband	11q23.1	8p21.3	13q14.2	1p36.21	6q21	3p14.3	10q26.12	14q24.3	17p12	16q24.2	15q11.2	9p23	22q11.1	19p13.3	4q34.3	2q23.1	9p21.3	21q21.1	2q37.1	20p12.1	11p15.4	17q12	6p25.3	21q11.2	7q36.1	17p13.3	12q24.33	13q34	22q13.32	1p21.2	
	DLAT	FGF17	CYSLTR2	CORT	PREP	CELSR3	HABP2	FOS		MAF	SRP14		LOC101929350	PTBP1	UFSP2	RAB3GAP1		SAMSN1	GBX2	ITPA	IRF7		ECI2	ABCC13	SLC4A2	RILP	EIF2B1	GRK1	PPARA	ATP6V0B	
	DPAGT1	DOK2	SMIM2	DDOST	REV3L	FHIT	HMX2	FUT8		MC1R	THBS1		LOC102723769	RPS15	CDKN2AIP	UBXN4		BAGE4	GPC1	NKX2-2	KCNQ1		FARS2	SIK1	SMARCD3	MIR22HG	ELK3	SLC10A2	MAPK11	ADGRB2	
	DRD2	ENTPD4	RUBCNL	DFFA	SIM1	FLNB	INPP5A	GALC		MVD	TJP1		LOC102723780	STK11	TENM3	R3HDM1		BAGE3	GPR35	OXT	LSP1		RPP40	LINC00319	VIPR2	SMYD4	STX2	SLC15A1	RANGAP1	BCL9	
	FDX1	PHYHIP	CDADC1	DFFB	SMPD2	GNAI2	ABLIM1	GPX2		CHMP1A	UBE3A		LINC01297	TCF3	LRP2BP	EPC2		BAGE2	HDLBP	PAX1	MUC2		FAM50B	POTED	XRCC2	SLC43A2	GOLGA3	SOX1	MAPK12	BMP8B	
	SLC37A4	SORBS3	COG3	DVL1	MAP3K7	GNAT1	MGMT	GSTZ1		PLCG2	MKRN3		BMS1P22	MADCAM1	STOX2	ARL5A		LINC00313	AGFG1	PCNA	MUC5AC		SLC35B3	LOC388813	ZNF212	WDR81	GTF2H3	TFDP1	SBF1	BRDT	
	GRIA4	NPM2	LINC00284	E2F2	NR2E1	XCR1	MKI67	GTF2A1		RPL13	PWAR5			MED16	CFAP97	MMADHC		CHODL	DNAJB2	PCSK2	MUC6		NRN1	ANKRD20A11P	ZNF282	TUSC5	HAL	TPP2	SREBF2	C1QA	
	GRIK4	ADAM28	LINC00330	ECE1	DDO	GPR27	MXI1	HSPA2		SPG7	HERC2			FSTL3	SPCS3	LRP1B		ANKRD30BP2	HTR2B	PDYN	NAP1L4		EXOC2	MGC39584	CUL1	RFLNB	HPD	ZIC2	ST13	C1QB	
	GUCY1A2	LZTS1	ERICH6B	MEGF6	SNX3	GPX1	NRAP	IFI27		GAN	SNURF			APC2	TRAPPC11	RIF1		LIPI	SP110	PLCB4	NUP98		WRNIP1	MIR663A	ASIC3	C17orf97	IGF1	STK24	TCF20	C1QC	
	H2AFX	XPO7	SPERT	EPHA2	RNGTT	GRM2	OAT	ITPK1		SLC7A5	AQR			ABCA7	CENPU	PRPF40A		ABCC13	IHH	PRNP	SLC22A18		DUSP22	RNA5-8S5	PDIA4	MIR22	KCNC2	CUL4A	TEF	C8A	
	HMBS	RHOBTB2	LRRC63	ENO1	CD164	HYAL1	PNLIP	LTBP2		CDK10	ARHGAP11A			UQCR11	WWC2	MBD5		SIK1	CXCR1	PTPRA	SLC22A18AS		LYRM4	RNA18S5	UBE3C	SCGB1C2	LTA4H	IRS2	UPK3A	C8B	
	HSPA8	SLC39A14	SLC25A30	EPHA8	WISP3	IMPDH2	PNLIPRP1	MAX		MBTPS1	SLC12A6			SBNO2	SNX25	ARHGAP15		C21orf91-OT1	CXCR2	PYGB	POLR2L		SLC22A23	RNA28S5	DNAJB6	BHLHA9	LUM	PROZ	WNT7B	CA6	
	HSPB2	ADAMDEC1	SIAH3	EPHB2	WASF1	ITIH1	PNLIPRP2	ATXN3		TAF1C	RASGRP1			ARHGAP45	LOC90768	RPRM		LINC00319	CXCR2P1	RRBP1	PSMD13		BLOC1S5	TEKT4P2	ABCF2	TLCD2	KITLG	ARHGEF7	CELSR1	CAPZA1	
	HTR3A	SLC25A37	KCTD4	EXTL1	TBX18	ITIH3	HTRA1	MAP3K9		USP10	GPR176			SHC2	WDR17	GTDC1		POTED	INHA	SIGLEC1	RNH1		TXNDC5	MIR3118-1	FASTK	DBIL5P	MMP17	CDC16	PPP6R2	CAPZB	
	IL10RA	KCTD9	SERP2	EYA3	FHL5	ITIH4	PTPRE	ALDH6A1		VPS9D1	BAHD1			DAZAP1	ZFP42	MAP3K19		LINC00320	INPP5D	SNAP25	MRPL23		RIOK1	MIR3156-3	ABCB8	PITPNA-AS1	MSI1	CLDN10	ZBED4	CASP9	
	IL18	PIWIL2	TUSC8	FGR	ATG5	LAMB2	RGS10	MTHFD1		KIAA0513	FAN1			RNU6-1	SPATA4	THSD7B		LOC388813	IRS1	SNRPB	RPLP2		FOXQ1	MIR3687-1	PAXIP1	MIR3183	MVK	ITGBL1	RBX1	CASQ2	
	STT3A	HR	TSC22D1-AS1	MTOR	ZBTB24	LTF	RPL21	NDUFB1		PIEZO1	GOLGA8A			FGF22	ENPP6	TMEM163		MIR99AHG	KCNJ13	SNRPB2	RRM1		HUS1B	MIR3648-1	SSPO	LOC100506371	MYBPC1	TM9SF2	SCO2	RUNX3	
	VWA5A	BIN3	SNORA31	FUCA1	FIG4	MAP4	SLC18A2	SERPINA5		ATP2C2	CYFIP1			MBD3	ASB5	ZRANB3		ANKRD20A11P	NCL	SOX12	SCT		SNRNP48	LOC100507412	CNTNAP2	LOC100506388	MYF5	GPC6	PKDREJ	CD2	
	MCAM	CCAR2	LINC00462	IFI6	CASP8AP2	MITF	TCF7L2	PGF		CLEC3A	FAM189A1			PCSK4	WWC2-AS2	FMNL2		MIRLET7C	NDUFA10	SSTR4	TRIM21		LINC01600	RNA45S5	GIMAP2	LOC101927727	MYF6	MBNL2	SLC25A17	TNFRSF8	
	KMT2A	PDLIM2	TPT1-AS1	GABRD	SYNCRIP	MST1	TECTB	SERPINA1		MPHOSPH6	NPAP1			C19orf24	RWDD4	LYPD1		MIR125B2	SEPT2	TCF15	STIM1		PIP5K1P1	SAMSN1-AS1	TPK1	LOC105371430	MYL2	FARP1	NUP50	CD53	
	NCAM1	EBF2	CPB2-AS1	GALE	SLC35A1	MST1R	TIAL1	SERPINA4		EMC8	DKFZP434L187			BTBD2	PRIMPOL	ACMSD		MIR99A	NEU2	TGM3	TALDO1		PXDC1	C21orf140	ZNF777		PPP1R12A	ABCC4	TOB2	CD58	
	NNMT	FAM160B2	LINC00562	GNB1	FUT9	MYL3	UROS	PIGH		TUBB3	GREM1			RNF126	TRIML2	LYPD6		MGC39584	NPPC	THBD	TH		SERPINB9P1	MIR6724-1	TMEM176B		NAP1L1	TUBGCP3	RABL2B	CDA	
	NPAT	NUDT18	LINC00563	SFN	TRAF3IP2	CNTN3	XPNPEP1	PPP2R5E		PRDM7	RPUSD2			WDR18	CCDC110	LYPD6B		MIR663A	PAX3	ZNF133	TSPAN4		FAM217A	MIR8069-1	REPIN1		NFYB	TNFSF13B	PACSIN2	CDK11B	
	NRGN	DOCK5	LINC00441	GPR3	PNRC1	PDHB	SHOC2	LGMN		MON1B	EMC4			REXO1	CYP4V2	ARL6IP6		RNA5-8S5	PDCD1	MKKS	TNNI2		LOC285766	LOC102723360	PRKAG2		NOS1	SOX21	GRAMD4	CDC20	
	PAFAH1B2	BIN3-IT1	MED4-AS1	ZBTB48	ASCC3	PFKFB4	ADAM12	PSEN1		TCF25	KLF13			PLPPR3	F11-AS1	FAM201B		RNA18S5	PDE6D	ATRN	TNNT3		LINC01622	KCNE1B	NUB1		NTS	RASA3	TTLL12	CDC42	
	POU2AF1	REEP4	HTR2A-AS1	HMGN2	BVES	PLXNB1	UTF1	PSMC1		ZCCHC14	MAGEL2			ABHD17A	LINC01098	SPOPL		RNA28S5	SERPINE2	CST7	TRPC2		LY86-AS1	SMIM11B	CHPF2		OAS1	DZIP1	MLC1	CDKN2C	
	PPP2R1B	CHMP7	SLC25A30-AS1	HMGCL	SEC63	PRKAR2A	EIF3A	ABCD4		GSE1	MTMR10			KLF16	LOC339975	NCKAP5		TEKT4P2	PPP1R7	CDS2	PHLDA2		CAGE1	LOC102724188	NCAPG2		OAS2	MYO16	ZC3H7B	CD52	
	PTS	NKX2-6	SMIM2-IT1	HSPG2	ANKRD6	PRKCD	SMC3	RAD51B		ATMIN	ZNF770			KISS1R	TRIML1	RBM43		MIR548X	PSMD1	PSMF1	ZNF195		MYLK4	LOC102724219	WDR60		OAS3	ATP11A	KIAA0930	RCC1	
	NECTIN1	PEBP4	SMIM2-AS1	HTR1D	ZNF292	PTH1R	BUB3	SEL1L		COTL1	RMDN3			MUM1	ANKRD37	TEX41		MIR3118-1	PTMA	SNPH	RASSF7		TUBB2B	LOC102724354	GIMAP4		P2RX4	MCF2L	MAPK8IP2	CHI3L2	
	RDX	CDCA2	LOC101929259	HTR6	CDK19	PTPRG	GSTO1	SRSF5		MLYCD	NOP10			MIDN	LOC389247	MIR128-1		MIR3156-3	PTPRN	LZTS3	IFITM1		PSMG4	LOC102724428	GIMAP5		P2RX7	DOCK9	PLXNB2	CLCA1	
	RPS25	R3HCC1	LINC01198	ID3	MDN1	QARS	BAG3	SLC8A3		CPNE7	NSMCE3			R3HDM4	HELT	C2orf27B		MIR3687-1	SNORD20	RASSF2	BRSK2		LINC01011	U2AF1L5	TMEM176A		PEBP1	TGDS	BRD1	CLCN6	
	SC5D	LGI3	MIR8079	TNFRSF9	UFL1	ROBO1	SH3PXD2A	SLC10A1		IL17C	EMC7			TMEM259	LINC01060	ANKRD30BL		MIR3648-1	SAG	GINS1	TSPAN32		HTATSF1P2	LOC102724652	ACTR3B		PAH	OXGR1	ARHGAP8	CLCNKA	
	SCN2B	LOC254896	LINC01055	STMN1	ORC3	ROBO2	FAM53B	SPTB		ANKRD11	PAK6			TPGS1	FAM92A1P2	ZNF806		LINC01549	CCL20	SLC23A2	TSSC4		C6orf201	LOC102724843	ESYT2		PAWR	BIVM	TBC1D22A	CLCNKB	
	SCN4B	LOC286059	LINC00390	MFAP2	PNISR	RPL29	SLK	TGFB3		OSGIN1	KNL1			REEP6	C4orf47	YY1P2		LOC100507412	SLC4A3	CST8	IFITM3		LINC00266-3	MIR6724-2	ZNF398		CDK17	TMCO3	TTLL1	PLK3	
	SDHD	LOC286114	LOC105370203	MTHFR	FBXL4	ATXN7	DCLRE1A	TSHR		GINS2	AVEN			IZUMO4	FRG2	PABPC1P2		RNA45S5	SLC11A1	SIRPB1	DEAF1		KU-MEL-3	MIR6724-3	KMT2C		SLC25A3	ARGLU1	SAMM50	CNN3	
	ST3GAL4	LOC389641		NBL1	SNORD50A	SEMA3F	SMNDC1	VRK1		TRAPPC2L	ATP10A			SCAMP4	SLED1	CCNT2-AS1		SAMSN1-AS1	SP100	SEC23B	IFITM2		PPP1R3G	LOC105372833	GALNT11		PLA2G1B	DCUN1D2	ATXN10	CNR2	
	SLN	MIR320A		NPPA	SESN1	SMARCC1	GLRX3	ZBTB25		WWOX	GJD2			ADAT3	FLJ38576	ZEB2-AS1		MIR548XHG	SPP2	NOP56	OR7E12P		HULC	LOC105379511	LMBR1		PMCH	ANKRD10	FAM19A5	COL8A2	
	SORL1	C8orf58		NPPB	OSTM1	NEK4	DPYSL4	DPF3		BCO1	KATNBL1			GRIN3B	LINC00290	MIR663B		C21orf140	TUBA4A	RBCK1	KCNQ1OT1		SCARNA27	LOC105379514	LINC00244		POLE	RAB20	SULT4A1	COL9A2	
	SRPRA	LOC100507071		OPRD1	NDUFAF4	TCTA	TACC2	GPR68		NECAB2	NIPA2			MOB3A	LOC728175	MIR3679		MIR6724-1	VIL1	POLR3F	PKP3		LYRM4-AS1	FRGCA	NOM1		PPP1CC	NAXD	RIBC2	COL11A1	
	TAGLN	LOC100507156		PAFAH2	TUBE1	TDGF1	TUBGCP2	TCL1A		KLHDC4	C15orf41			MISP	MIR3945HG	LOC100507600		MIR8069-1	WNT6	RBBP9	SIRT3		MIR3691		LRRC61		PRKAB1	UGGT2	ARFGAP3	COL16A1	
	TECTA	LZTS1-AS1		PAX7	C6orf203	TGM4	PRDX3	GPR65		DEF8	DISP2			PLK5	CLDN24	MIR4773-1		LOC102723360	ZNF142	DSTN	OR52A1		LOC100506207		ZNF767P		PSMD9	PCID2	SMC1B	CORT	
	THY1	LOC101929172		PEX10	CDC40	TKT	VAX1	NUMB		BANP	CHRFAM7A			C2CD4C	DUX4	MIR5590		KCNE1B	SCG2	RNF24	PGAP2		LOC100507194		TMUB1		PTPN11	UPF3A	CSDC2	CPT2	
	UPK2	LOC101929237		PEX14	UBE2J1	TMF1	ATE1	ADAM21		ZDHHC7	ULK4P3			CIRBP-AS1	MIR1305	LOC101928161		SMIM11B	CUL3	XRN2	C11orf21		LOC100507506		KRBA1		PXMP2	KDELC1	RRP7A	CRYZ	
	ZBTB16	LOC101929294		PGD	COQ3	CLEC3B	SEC23IP	ADAM20		CENPN	ULK4P1			C19orf25	DBET	LOC101928185		LOC102724188	DGKD	UBOX5	TRPM5		GMDS-AS1		ZBED6CL		PXN	CARS2	MCAT	CSF1	
	ZNF202	LOC101929315		PIK3CD	SOBP	TNNC1	RAB11FIP2	CCNK		CMC2	ARHGAP11B			ATP8B3	MIR3945	DARS-AS1		LOC102724219	STK16	BTBD3	IGF2-AS		BLOC1S5-TXNDC5		AGAP3		RAN	GRTP1	DESI1	CSF3R	
	CUL5	MIR6841		PLA2G2A	AKIRIN2	UBA7	INPP5F	DCAF5		JPH3	DPH6			CBARP	LINC01093	LOC101928273		LOC102724354	PER2	CD93	BET1L		EEF1E1-BLOC1S5		C7orf13		RFC5	TMTC4	PARVB	CTBS	
	ZPR1	MIR6876		PLA2G5	QRSL1	USP4	SORCS3	ALKBH1		VAT1L	C15orf57			CSNK1G2-AS1	LOC100506272	LOC101928386		LOC102724428	CDK5R2	NINL	CEND1		MIR4645		ZNF786		RFX4	ABHD13	NCAPH2	CTH	
	USP2	LOC102467222		PLOD1	RARS2	UQCRC1	FAM175B	EIF2B2		TLDC1	KNSTRN			ODF3L2	MIR4455	LINC01412		U2AF1L5	CNOT9	PLCB1	CDHR5		MIR5683		ASB10		RPL6	ZIC5	GTSE1	CTPS1	
	PCSK7			EXOSC10	PDSS2	WNT5A	ATRNL1	PNMA1		WFDC1	BMF			ADAMTSL5	LOC101928590	LOC101929231		LOC102724652	LRRFIP1	PRND	TOLLIP		LOC101927691		RNF32		RPLP0	GGACT	A4GALT	CYP2J2	
	HTR3B			PPP1R8	SMIM8	IFRD2	EDRF1	RPS6KA5		MTHFSD	SNORD107			NDUFS7	LINC01099	LOC101929260		LOC102724843	GPR55	FLRT3	TRIM68		FOXCUT		LINC00689		CLIP1	TEX30	MOV10L1	CYP4A11	
	ZW10			PRKCZ	LYRM2	MAPKAPK3	PDCD4	TRIP11		DBNDD1	CHST14			ONECUT3	WWC2-AS1	LOC101929282		MIR6724-2	TRIP12	LAMP5	PIDD1		LOC101927730		GIMAP8		ATXN2	ADPRHL1	FAM118A	CYP4B1	
	UBE4A			PTAFR	SNX14	SEMA3B	VENTX	NRXN3		KLHL36	TUBGCP5			MEX3D	LINC01262	LOC101929319		MIR6724-3	ECEL1	SPEF1	KCNQ1DN		LOC101927759		CRYGN		SELPLG	TEX29	TTC38	DAB1	
	EI24			RAP1GAP	HACE1	SLMAP	CUZD1	AKAP5		FBXO31	NIPA1			PRSS57	LOC102723766	MIR7157		LOC105372833	EIF4E2	C20orf194	MMP26		LOC101927950		ZNF425		SFSWAP	METTL21EP	PRR34	DBT	
	FEZ1			RHCE	BEND3	MANF	CALY	SPTLC2		CMIP	PWAR1			LOC100288123	LVCAT8	LOC105373635		LOC105379511	TTLL4	CFAP61	CHRNA10		LOC101927972		LOC155060		SNRPF	SPACA7	MIOX	GADD45A	
	C2CD2L			RHD	RRAGD	ACOX2	CHST15	TCL1B		CDT1	LOC145845			MIR1909	LOC105377590	LOC105373656		LOC105379514	HDAC4	ABHD12	PNPLA2		MIR7641-2		ZNF746		SYT1	RNF113B	PRR5	DDOST	
	RBM7			RNU1-4	PRDM13	BAP1	ACSL5	RGS6		MAP1LC3B	TMCO5A			MIR3187	LINC01596			FRGCA	FARP2	ZNF337	PHRF1		MIR6720		ATP6V0E2		TBX5	LINC00410	TRMU	DFFA	
	MPZL2			SNORA73A	BACH2	HYAL3	ZRANB1	SUSD6		DYNLRB2	CSNK1A1P1			MIR4745					FARSB	RNU105B	SIGIRR		MIR7853		RBM33		TBX3	LINC00343	SEPT3	DFFB	
	HYOU1			RPA2	LINC01590	CADPS	CFAP46	AREL1		HSDL1	OTUD7A			RNU6-7					ABCB6	SNORD57	RIC8A		LOC102724096		GALNTL5		HNF1A	GPR180	PANX2	DHCR24	
	ATP5L			RPL11	POPDC3	HYAL2	NSMCE4A	GOLGA5		CRISPLD2	SPRED1			RNU6-2					ARPC2	SNORD56	EPS8L2				GIMAP7		TDG	CLYBL	XPNPEP3	DIO1	
	TREH			RPL22	MICAL1	SUCLG2	CCDC186	MED6		SPIRE2	PGBD4								ARL4C	SDCBP2	CHID1				ZNF467		TSPAN8	METTL21C	PARVG	DLSTP1	
	CEP164			RPS6KA1	MANEA	HESX1	WDR11	GPHN		ZNF469	FSIP1								RAMP1	SNX5	OR51G1				GIMAP1		TMPO	NALCN	CERK	DPH2	
	EXPH5			RSC1A1	GPR63	BSN	DHX32	VTI1B		CENPBD1	LPCAT4								SPEG	TMEM230	OR51B4				PAXIP1-AS1		NR2C1	HS6ST3	EFCAB6	DPYD	
	PHLDB1			SCNN1D	SPACA1	LIMD1	PPP2R2D	FBLN5		ZNF276	NUTM1								NMUR1	LINC00652	OR51B2				C7orf33		HSP90B1	DAOA	CENPM	DR1	
	SIK2			SDHB	ARMC2	CCRL2	TDRD1	BATF		KCNG4	LOC283683								STK25	NXT1	SLC25A22				FABP5P3		TXNRD1	DAOA-AS1	ALG12	DRD5P2	
	ARHGEF12			SKI	RPF2	UBA3	BCCIP	NPC2		SDR42E1	GOLGA6L2								COPS8	VSX1	PGGHG				CNPY1		UBC	FGF14-IT1	CRELD2	DVL1	
	SIK3			SLC2A5	MCHR2	RRP9	GPAM	AHSA1		PKD1L2	OR4N4								CAPN10	NAA20	OR51G2				LOC285889		UBE2N	FGF14-AS2	C22orf46	E2F2	
	VSIG2			SLC9A1	FAXC	MAGI1	SHTN1	CYP46A1		RNF166	LOC283710								SP140	CRNKL1	OR51E2				ZNF775		UNG	LINC00551	CCDC134	ECE1	
	BACE1			SRM	GJA10	CACNA2D2	FAM160B1	PAPOLA		C16orf46	FAM98B								PASK	ANGPT4	PTDSS2				LINC00996		ZNF10	LINC00567	ADM2	ECM1	
	TRIM29			TAF12	RTN4IP1	DCAF1	PLEKHA1	ACOT2		DNAAF1	HERC2P3								ATG4B	ESF1	MOB2				ATG9B		ZNF26	LINC00346	SCUBE1	S1PR1	
	CADM1			TCEA3	USP45	IP6K1	FAM204A	TMED10		SPATA2L	GOLGA6L1								OBSL1	TRMT6	SYT8				BLACE		ZNF84	CHAMP1	TRABD	EDN2	
	POU2F3			TCEB3	SLC22A16	PSMD6	LHPP	PTPN21		SPATA33	GOLGA8G								DNPEP	HAO1	ODF3				WDR86		ZNF140	UBAC2	PNPLA3	PHC2	
	HINFP			TNFRSF1B	MFSD4B	PARP3	IKZF5	C14orf1		ZC3H18	GOLGA8IP								SH3BP4	RIN2	OSBPL5				LOC389602		ALX1	TMEM255B	SELO	CELSR2	
