cytoband	8p23.2	10q23.31	13q14.2	19p13.3	1p36.21	5q11.2	9p21.3	15q15.1	2q37.3	4q35.2	11q25	11p15.5	7q36.1	3p14.2	18q23	16p13.3	6p25.3	19q13.43	12q13.13	9q34.3	10q26.3	5q21.3	6q25.3	6q26	4p16.3	20p13	12q23.1	14q24.1	16q12.2	16q23.1	4q31.3	15q11.2	2p25.1	14q32.2	3p25.2	22q11.21	22q13.31	13q12.11	9q21.11	20p12.1	4q22.1	
				DAZAP1	DFFA			SRP14	PDCD1	FRG2	MIR4697HG	PKP3		APPL1	SERPINB5		PRPF4B	CHMP2A	CACNB3	COL5A1	CALY			PLG	FGFRL1	SLC52A3			KIFC3			ITPKA	KCNF1	DIO3		PRODH	WNT7B	GJA3	IGFBPL1		CDS1	
				MBD3	EPHA2			THBS1	PPP1R7	DUX4	LOC283177	SIRT3		ARHGEF3	SERPINB8		ECI2	ZNF544	CCNT1	CRAT	CFAP46			PSMB1	PIGG	TBC1D20			MMP2			IVD	KCNS3	DYNC1H1		RANBP1	CELSR1	GJB2	FOXD4L4		CENPE	
				PCSK4	ENO1			TYRO3	PER2	DBET	LOC646522	BET1L		IL17RD	SERPINB10		FAM50B	ZNF446	CD63	DBH	PPP2R2D			RPS6KA2	ABCA11P	C20orf96			MMP15			LTK	KIF3C	EIF5		SLC7A4	PPP6R2	GPR12	AQP7P1		DMP1	
				C19orf24	MTOR			JMJD7-PLA2G4B	LRRFIP1	LOC100506272	LOC100128239	CDHR5		PXK	SERPINB13		EXOC2	ZSCAN18	CDK2	SARDH	LRRC27			SLC22A1	MFSD7	SRXN1			MT1A			MEIS2	MATN3	ELK2AP		SLC25A1	ZBED4	GTF3A	FGF7P6		DSPP	
				REXO1	HTR6			SNAP23	HDAC4	LINC01262	LOC100507548	PHRF1		ABHD6	PMAIP1		WRNIP1	CENPBD1P1	COL2A1	DNM1	ADGRA1			SLC22A3	TMEM175	DEFB127			MT1B			TRPM1	MYCN	EML1		TBX1	SCO2	HMGB1	SPATA31A6		EGF	
				ABHD17A	TNFRSF9			RASGRP1	FARP2	LINC01596	MIR4697	SIGIRR		FAM3D	SERPINB3		DUSP22	ZNF329	CS	TOR1A	NKX6-2			SLC22A2	ZNF595	DEFB129			MT1E			NDN	ODC1	BRF1		CLDN5	PKDREJ	PDX1	GLIDR		EIF4E	
				KLF16	MFAP2			GPR176	RAMP1			RIC8A		ASB14	SERPINB4		SLC22A23	ZNF606	DGKA	ENDOG	KNDC1			SOD2	ZNF721	DEFB125			MT1F			OCA2	POMC	HSP90AA1		HIRA	NUP50	MAB21L1	FAM74A1		ENPEP	
				MUM1	MTHFR			CHP1	STK25			EPS8L2		C3orf67	ZNF236		FOXQ1	ZBTB45	EIF4B	ENG	MTG1			T	ZNF718	DEFB128			MT1G			PLCB2	RPS7	IFI27		UBE2L3	RABL2B	SMAD9	FAM74A4		GRID2	
				MIDN	NBL1			OIP5	COPS8			PGGHG		KCTD6	SERPINB7		HUS1B	ZNF837	CELA1	FCN1	SYCE1			TBP	CTBP1-AS	DEFB132			MT1H			RAD51	RRM2	ITPK1		UFD1L	GRAMD4	MIPEP	ZNF658B		H2AFZ	
				REEP6	NPPA			BAHD1	CAPN10			PTDSS2		DNAH12	TNFRSF11A		LINC01600	C19orf18	ERBB3	FCN2	PRAP1			TCP1	RNF212	NRSN2-AS1			MT1JP			RYR3	SDC1	JAG2		ZNF74	MLC1	PABPC3	LOC403323		HADH	
				SCAMP4	NPPB			MAPKBP1	PASK			ODF3		PDE12	CTDP1		PXDC1	ZNF497	BLOC1S1	FPGS	ZNF511			TCP10	ZNF876P				MT1M			SCG5	SOX11	KLC1		DGCR6	KIAA0930	UBL3	LOC440896		HNRNPD	
				ADAT3	PAX7			RTF1	ATG4B			LRRC56		DENND6A	SOCS6		SERPINB9P1	ZNF584	GPD1	FUT7	CTAGE7P			TCTE3	ZNF732				MT1L			SNRPN	ADAM17	MARK3		LZTR1	MAPK8IP2	RFC3	ANKRD20A3		IBSP	
				PLK5	PEX14			MGA	SNED1			LOC143666		CCDC66	VPS4B		FAM217A	ZSCAN1	NCKAP1L	GLE1	C10orf91			DYNLT1	MIR571				MT1X			SPINT1	TPO	ATXN3		CLTCL1	PLXNB2	RFXAP	ANKRD20A2		CFI	
				CIRBP-AS1	PGD			VPS39	TRAF3IP1			SCGB1C1		SPATA12	ZNF516		LOC285766	ZSCAN22	NR4A1	GOLGA2	PWWP2B			THBS2	LOC100129917				MT2A			SRP14	TSSC1	NDUFB1		DGCR14	BRD1	RNF6	AQP7P3		MANBA	
				C19orf25	PIK3CD			CCNDBP1	ANO7			NLRP6		ARHGEF3-AS1	TSHZ1		LINC01622	ZNF324B	HNRNPA1	RAPGEF1	PAOX			EZR	LOC100130872				MT3			THBS1	VSNL1	SERPINA5		CDC45	ARHGAP8	RPL21	PTGER4P2-CDK2AP2P2		AFF1	
				ATP8B3	PLA2G2A			TMEM87A	PRLH			LMNTD2		LOC101929159	CD226		MYLK4	A1BG-AS1	HOXC4	GRIN1	EBF3			RNASET2	TMED11P				PHKB			TJP1	PXDN	SERPINA1		P2RX6	TBC1D22A	SGCG	CBWD3		MTTP	
				CBARP	PLA2G5			RPAP1	THAP4			TMEM80		C3orf67-AS1	MALT1		TUBB2B	RNF225	HOXC5	LCN1	TCERG1L			QKI	LOC105374344				POLR2C			TYRO3	KLF11	SERPINA4		SNAP29	SAMM50	SLC7A1	LOC554249		NFKB1	
				ADAMTSL5	PLOD1			RPUSD2	ANKMY1			ANO9		MIR548BB	TXNL4A		PSMG4	LOC100128398	HOXC6	LCN2	FUOM			WTAP					RBL2			UBE3A	NCOA1	PPP2R5C		DGCR2	ATXN10	TRPC4	PGM5-AS1		NKX6-1	
				NDUFS7	EXOSC10			EHD4	SCLY			B4GALNT4		LOC105377102	ADNP2		LINC01011	MZF1-AS1	HOXC8	NOTCH1	JAKMIP3			PDE10A					SALL1			MKRN3	ASAP2	LGMN		TXNRD2	FAM19A5	TUBA3C	PGM5P2		PDHA2	
				ONECUT3	RNU1-4			NDUFAF1	ASB1			IFITM5		LOC105377105	PHLPP1		HTATSF1P2	MIR4754	HOXC9	ODF2	STK32C			FGFR1OP					CCL17			PWAR5	TAF1B	PSMC1		USP18	RIBC2	ZMYM2	FRG1JP		PITX2	
				MEX3D	RSC1A1			NUSAP1	HES6			MIR210		FAM3D-AS1	PIGN		C6orf201	MIR6806	HOXC10	PAEP	LINC00959			LINC01558					CCL22			JMJD7-PLA2G4B	ITGB1BP1	MOK		HIC2	SMC1B	IFT88	LOC642929		PKD2	
				LOC100288123	SDHB			SPTBN5	ACKR3			LINC01001		ARF4-AS1	RTTN		LINC00266-3	MIR6807	HOXC11	PTPA	LINC01164			DLL1					CX3CL1			HERC2	ROCK2	TNFAIP2		TSSK2	PARVB	TNFSF11	LINC01189		PPP3CA	
				MIR1909	SLC2A5			DLL4	RNPEPL1			MIR210HG			KCNG2		KU-MEL-3	LOC105372483	HOXC12	PTGDS	LINC01168			MRPL18					SIAH1			SNURF	TP53I3	TRAF3		SDF2L1	NCAPH2	CCNA1	CNTNAP3P2		MAPK10	
					SRM			INO80	GAL3ST2			MIR6743			SALL3		LOC100507194		HOXC13	RALGDS	SPRNP1			MPC1					SLC6A2			AQR	GREB1	VRK1		PPIL2	GTSE1	MTMR6	CBWD6		PTPN13	
					TNFRSF1B			PPP1R14D	RAB17						CDH20		LOC100507506		IGFBP6	RPL7A	FRG2B			UNC93A					SLC12A3			ARHGAP11A	LAPTM4A	WARS		IL17RA	MOV10L1	DCLK1	FLJ43315		RAP1GDS1	
					ZBTB17			HAUS2	MLPH						CDH19		GMDS-AS1		ITGA5	RXRA	SPRN			PHF10					ADGRG1			SLC12A6	RNF144A	XRCC3		ANKRD62P1-PARP4P3	FAM118A	ZMYM5	SPATA31A1		RPL34	
					PRDM2			RMDN3	IQCA1						TIMM21		MIR4645		ITGA7	SET	MIR202			ERMARD					N4BP1			RASGRP1	PDIA6	YY1		POTEH	TTC38	KL	FOXD4L6		SNCA	
					AKR7A2			DNAJC17	C2orf54						RAX		LOC101927691		ITGB7	SNAPC4	SCART1			AGPAT4					NUP93			GPR176	MYCNOS	GPR68		BCL2L13	PRR34	MTRF1	FOXD4L5		SPP1	
					ALDH4A1			PAK6	ILKAP						TMX3		FOXCUT		KRT1	SPTAN1	ADGRA1-AS1			TULP4					HERPUD1			CHP1	RAB10	TCL1A		DGCR11	MIOX	NUP58	FGF7P3		TACR3	
					EIF4G3			KNL1	ING5						ZCCHC2		LOC101927730		KRT2	SURF1	DUX4			TMEM181					IRX5			OIP5	YWHAQ	ADAM6		DGCR9	PRR5	FRY	SPATA31A3		UBE2D3	
					PER3			STARD9	MGC16025						ZNF532		LOC101927759		KRT3	SURF2	MIR378C			SMOC2					DNAJA2			BAHD1	EFR3B	DLK1		DGCR5	TRMU	SLC25A15	SPATA31A5		SPARCL1	
					DHRS3			VPS18	LOC93463						ZNF407		MIR7641-2		KRT4	SURF4	MIR4297			FRMD1					KATNB1			FAN1	MYT1L	CCNK		DGCR10	PANX2	LHFP	FAM74A3		UNC5C	
					VAMP3			ZNF106	AGAP1						CNDP2		MIR6720		KRT5	MED22	MIR3944			AGPAT4-IT1					ZNF267			MAPKBP1	LPIN1	MTA1		TRMT2A	PARVG	USPL1	CNTNAP3B		LAMTOR3	
					H6PD			CHAC1	TWIST2						KIAA1468		LOC102724096		KRT6A	SURF6	TCERG1L-AS1			LINC00574					NUDT21			GOLGA8A	PUM2	RPS6KA5		HSFY1P1	CERK	MRPS31	LOC728673		HERC3	
					CROCC			TMEM62	NEU4						CCDC102B				KRT6B	TRAF2	LINC01166			LPAL2					CNOT1			RTF1	NTSR2	TRIP11		CECR6	ALG12	SAP18	ANKRD20A4		PAPSS1	
					MFN2			ZFYVE19	MTERF4						RBFA				KRT7	TSC1	MIR202HG			RSPH3					ZNF423			CYFIP1	SH3YL1	BAG5		CECR5	CRELD2	N4BP2L2	FAM27E3		AIMP1	
					ANGPTL7			DISP2	UBE2F						PQLC1				KRT8	TTF1	LINC01167			TTLL2					RPGRIP1L			MGA	TRIB2	C14orf2		CECR3	ADM2	POSTN	LOC100132249		ABCG2	
					UBE4B			C15orf57	OTOS						NETO1				KRT18	VAV2				FAM120B					ARL2BP			FAM189A1	GRHL1	CDC42BPB		CECR2	TRABD	GJB6	FRG1HP		HNRNPDL	
					MAD2L2			KNSTRN	COPS9						PARD6G				KRT81	BRD3				FNDC1					ORC6			NPAP1	ITSN2	TCL1B		POM121L8P	PNPLA3	HSPH1	GXYLT1P3		TSPAN5	
					PDPN			BMF	OR6B3						CNDP1				KRT82	NUP214				LINC00473					TP53TG3			RPAP1	TRAPPC12	FAM30A		YPEL1	SELO	WASF3	FAM27C		FAM13A	
					MASP2			CHST14	LOC150935						SERPINB12				KRT83	LHX3				SYTL3					DKFZP434H168			DKFZP434L187	DNAJC27	TECPR2		ZDHHC8	HDAC10	WBP4	FAM95B1		SEC24B	
					UTS2			PLA2G4E	LINC01107						SERPINB11				KRT84	GFI1B				SFT2D1					TOX3			GREM1	NBAS	GOLGA5		MED15	LDOC1L	AKAP11	FAM27B		PDLIM5	
					MST1P2			TMCO5A	LOC151174						SEC11C				KRT85	SSNA1				TAGAP					CCDC113			RPUSD2	SF3B6	FBLN5		TUBA8	KIAA1644	EXOSC8	FAM27E2		RRH	
					MST1L			TTBK2	ERFE						DSEL				KRT86	EDF1				PACRG					CFAP20			NDUFAF1	CPSF3	SIVA1		CECR1	SHANK3	PDS5B	FAM95C		HPSE	
					PADI2			CDAN1	LOC200772						FAM69C				LALBA	DPM2				PNLDC1					BRD7			NUSAP1	SNTG2	CYP46A1		DGCR8	TUBGCP6	VWA8	MIR1299		SEC31A	
					PARK7			SPRED1	RTP5						CCBE1				MMP19	FUBP3				LOC154449					PLLP			EMC4	ATAD2B	PAPOLA		GNB1L	LMF2	SPG20	MIR4477A		MMRN1	
					CTRC			EXD1	LOC285095						CBLN2				MYL6	CLIC3				DACT2					CES1P1			KLF13	ASXL2	RCOR1		PEX26	PHF21B	MTUS2	FAM74A7		WDFY3	
					CLSTN1			FSIP1	DUSP28						FBXO15				NELL2	GTF3C5				C6orf118					LPCAT2			MAGEL2	ADI1	PACS2		MICAL3	KLHDC7B	FAM230C	LOC101927827		METAP1	
					AKR7A3			RHOV	ESPNL						GTSCR1				NFE2	GTF3C4				OSTCP1					HEATR3			DLL4	ALLC	PPP1R13B		MRPL40	PRR34-AS1	SACS	LOC101928195		PPA2	
					SPEN			UBR1	RBM44						DOK6				SLC11A2	MED27				WDR27					OGFOD1			INO80	KIDINS220	DICER1		RTN4R	CDPF1	LATS2	LOC101928381		DAPP1	
					EMC1			PLA2G4F	AQP12A						RNF152				PA2G4	PTGES				PACRG-AS1					DOK4			PPP1R14D	WDR35	KIF26A		C22orf29	GTSE1-AS1	SNORD102	LOC101929583		DKK2	
					KIF1B			LRRC57	KLHL30						LINC00305				PCBP2	ADAMTSL2				PRR18					VPS35			MTMR10	RDH14	TMEM251		THAP7	LOC284930	NBEA	LOC102723709		COQ2	
					PLEKHM2			FAM98B	OR6B2						LOC284241				PDE1B	PPP1R26				LOC285804					COQ9			ZNF770	LDAH	TCL6		OR11H1	LOC284933	RGCC	LOC102724238		HPGDS	
					OTUD3			PLA2G4D	ASB18						ZADH2				PFDN5	SEC16A				C6orf120					CIAPIN1			RMDN3	HS1BP3	GPR132		SLC25A18	RPL23AP82	ALG5	LOC102724580		MRPS18C	
					KAZN			MRPL42P5	FLJ43879						SMIM21				PFKM	LAMC3				DKFZp451B082					ZNF319			DNAJC17	COLEC11	SERPINA10		TMEM191A	C22orf34	POLR1D	LOC102725126		COPS4	
					DNAJC16			C15orf52	MIR149						LINC00908				POU6F1	TUBB4B				TCP10L2					NOD2			NOP10	CENPO	GLRX5		KLHL22	CHKB-CPT1B	CRYL1	LINC01410		HSD17B11	
					UBR4			C15orf53	LOC643387						HMSD				PPP1R1A	UBAC1				LOC401286					PAPD5			NSMCE3	SMC6	EVL		DGCR6L	LINC00207	POMP	LOC103908605		LEF1	
					ATP13A2			C15orf54	AQP12B						LOC284294				PRKAG1	OLFM1				LINC00242					AKTIP			EMC7	NOL10	GSKIP		RIMBP3	MIRLET7BHG	UFM1	LOC105376064		HERC5	
					TARDBP			EIF2AK4	D2HGDH						LOC339298				PRPH	ZER1				LINC01624					GINS3			PAK6	WDCP	CINP		SCARF2	LINC00898	ATP8A2	LOC105379450		PLAC8	
					PADI4			C15orf62	LOC728323						CPLX4				RAB5B	AGPAT2				LINC00602					NDRG4			KNL1	FAM49A	ASB2		TUBA3FP	IL17REL	IL17D	XLOC_007697		LARP7	
					SZRD1			C15orf56	PP14571						ATP9B				RARG	POMT1				LOC441178					FTO			AVEN	RSAD2	CPSF2		GAB4	MIRLET7A3	MPHOSPH8			EMCN	
					FBXO2			PHGR1	BOK-AS1						OACYLP				RDH5	SDCCAG3				AFDN-AS1					IRX6			ATP10A	NT5C1B	CDCA4		C22orf39	MIRLET7B	SOHLH2			NUDT9	
					FBXO6			MIR626	MIR3133						LINC01538				RPL41	NOXA1				SNORA20					IRX3			GJD2	KLHL29	NRDE2		TANGO2	LINC00229	PSPC1			GAR1	
					PLA2G2D			MIR627	MIR4269						LOC400655				RPS26	USP20				SNORA29					USB1			VPS18	CMPK2	ATG2B		CCT8L2	DENND6B	TNFRSF19			TET2	
					RNU6-1			OIP5-AS1	AGAP1-IT1						LINC00909				SCN8A	SLC27A4				LOC729603					SHCBP1			CHAC1	MBOAT2	UBR7		XKR3	PIM3	SUPT20H			ARHGEF38	
					RNU5E-1			SRP14-AS1	UBE2F-SCLY						C18orf65				PMEL	WDR5				PACRG-AS3					SETD6			KATNBL1	TMEM18	MEG3		LINC00895	ODF3B	CENPJ			HERC6	
					RNU1-3			ANKRD63	MIR2467						LINC00683				SMARCC2	SPACA9				HGC6.3					FAM192A			NIPA2	OSR1	PPP4R3A		LINC00896	PRR5-ARHGAP8	RNF17			MCUB	
					RNU1-2			JMJD7	MIR4440						LOC400661				SMARCD1	ADAMTS13				LOC100129518					CHD9			C15orf41	TTC32	BTBD7		AIFM3	TBC1D22A-AS1	COG6			BANK1	
					RNU1-1			PLA2G4B	MIR4786						HSBP1L1				SP1	CACFD1				C6orf99					ITFG1			ZFYVE19	C2orf50	TDP1		RIMBP3C	SYCE3	XPO4			ZGRF1	
					HSPB7			MIR4310	MIR4441						LOC643542				SUOX	SLC2A6				LOC100131532					NETO2			DISP2	PQLC3	ZNF839		YDJC	LOC730668	MRPL57			AP1AR	
					UBIAD1			INAFM2	CAPN10-AS1						C18orf63				TARBP2	MAN1B1				AIRN					LONP2			CHRFAM7A	LINC01105	KCNK13		CCDC116	LINC01310	NAA16			BDH2	
					PADI1			RAD51-AS1	LINC01237						PARD6G-AS1				TMBIM6	DOLK				LOC100289495					NLRC5			ULK4P3	FAM84A	C14orf132		LINC00528	CHKB-AS1	PROSER1			SMARCAD1	
					PLA2G2E			LOC101928227	LOC101928111						LOC100131655				TFCP2	FNBP1				MIR1913					DRC7			ULK4P1	GDF7	DDX24		POM121L4P	LINC00899	KATNAL1			MEPE	
					SLC45A1			EHD4-AS1	MIR6811						LINC01541				VDR	SETX				MIR3918					CAPNS2			ARHGAP11B	UBXN2A	UNC79		LOC284865	MIR1249	KBTBD7			INTS12	
					HP1BP3			PLA2G4E-AS1	LOC102723927						LOC100505797				WNT1	PMPCA				MIR3939					MT4			DPH6	CYS1	BEGAIN		PI4KAP2	MIR3201	MEDAG			KLHL8	
					CELA2B			LOC105370792							LOC100505817				WNT10B	EXOSC2				KIF25-AS1					GPT2			C15orf57	ATP6V1C2	PPP4R4		TPTEP1	MIR3619	KBTBD6			ENOPH1	
					MRTO4			LOC105370941							LOC100505853				MAP3K12	NCS1				CAHM					ABCC11			KNSTRN	RNASEH1	MOAP1		CCDC188	MIR3667	STARD13			OSTC	
					PADI3			LOC105370943							RBFADN				TUBA1A	NUP188				MIR4644					NKD1			BMF	FAM150B	DIO3OS		LRRC74B	NUP50-AS1	N4BP2L1			NEUROG2	
					ERRFI1			BUB1B-PAK6							MIR5011				KMT2D	CIZ1				RPS6KA2-AS1					RSPRY1			SNORD107	IAH1	INF2		BCRP2	LINC01589	TPTE2			SLC39A8	
					FBXO42										MIR548AV				AAAS	NELFB				RPS6KA2-IT1					MYLK3			CHST14	FLJ33534	BCL11B		MIR130B	MIR4763	N4BP2L2-IT2			ETNPPL	
					RNF186										LINC01544				SOAT2	NSMF				EZR-AS1					CCDC102A			TUBGCP5	LINC00298	OTUB2		MIR185	MIR4762	CSNK1A1L			ELOVL6	
					FBLIM1										LOC101060542				NPFF	GPSM1				LOC101929122					ABCC12			NIPA1	LINC00299	ZFYVE21		THAP7-AS1	MIR4535	RXFP2			THAP9	
					PQLC2										LOC101927322				ENDOU	DKFZP434A062				PACRG-AS2					C16orf78			PWAR1	LINC01115	MEG8		P2RX6P	LOC101927526	TEX26			GSTCD	
					CASZ1										LOC101927481				KRT75	GBGT1				LOC101929297					ANKRD26P1			LOC145845	MSGN1	WDR25		RIMBP3B	LL22NC03-75H12.2	FAM216B			SCD5	
					TMEM51										LOC101927606				SCAF11	SNORD62A				LOC101929420					SNX20			TMCO5A	GEN1	LINC00341		DUXAP8	MIR6821	B3GLCT			DNAJB14	
					ARHGEF10L										LOC101927651				DDX23	SNORD36C				LOC101929460					FRG2DP			CSNK1A1P1	C2orf48	CLMN		FAM230B	LOC105373100	DGKH			ALPK1	
					VPS13D										LINC01029				SLC4A8	SNORD36B				LINC01615					CPNE2			OTUD7A	PFN4	CATSPERB		LOC642643		STOML3			CXXC4	
					CAMK2N1										LOC101927989				ESPL1	SNORD36A				LOC101929504					ADGRG5			SPRED1	FAM228B	RIN3		TMEM191C		EEF1DP3			PLA2G12A	
					NBPF1										LOC102724913				DAZAP2	SNORD24				LOC101929523					PRSS54			PGBD4	RNF144A-AS1	C14orf159		FAM230A		AMER2			ARHGAP24	
					NECAP2										LOC105372179				TESPA1	TRUB2				MIR7161					CES5A			EXD1	MFSD2B	TMEM121		MIR648		USP12			C4orf17	
					RCC2														TROAP	ST6GALNAC4				MIR7641-2					ADGRG3			FSIP1	PTRHD1	AMN		MIR649		MTIF3			FAM175A	
					CTNNBIP1														RNF41	NDOR1				LOC102724053					CNEP1R1			RHOV	LOC400940	IFI27L2		TMEM191B		GSX1			COL25A1	
					AGTRAP														GDF11	TOR1B				LOC102724152					CASC22			LPCAT4	LINC00487	SETD3		PI4KAP1		EEF1AKMT1			GPAT3	
					DISP3														TUBA1B	NTMT1				LOC102724357					LOC283856			NUTM1	LINC01376	APOPT1		LOC729461		SKA3			PIGY	
					KIF17														RAPGEF3	PHPT1				LOC102724511					LINC01566			LOC283683	LINC00954	HHIPL1		MIR301B		MICU2			FLJ20021	
					MIIP														MCRS1	ANAPC2				LOC105378098					MT1DP			GOLGA6L2	FAM110C	GON7		CECR7		SPATA13			TIFA	
					CELA2A														ATF7	PKN3				MEAT6					TEPP			OR4N4	LOC645949	FAM181A		CECR5-AS1		LNX2			TRMT10A	
